DATE,AHETPI,3m growth rate,12m growth rate
1964-01-01,2.5,,
1964-02-01,2.5,,
1964-03-01,2.51,,
1964-04-01,2.52,3.2386052095999984,
1964-05-01,2.52,3.2386052095999984,
1964-06-01,2.53,3.225548394476374,
1964-07-01,2.54,3.212596428696801,
1964-08-01,2.55,4.847615657185012,
1964-09-01,2.56,4.828115019633872,
1964-10-01,2.55,1.5841276017290573,
1964-11-01,2.56,1.577878818382472,
1964-12-01,2.58,3.161812201142311,
1965-01-01,2.58,4.789580584523723,3.200000000000003
1965-02-01,2.59,4.770543077029288,3.600000000000003
1965-03-01,2.61,4.7329184266647895,3.984063745019917
1965-04-01,2.6,3.13701741388428,3.1746031746031855
1965-05-01,2.62,4.714327746921576,3.9682539682539764
1965-06-01,2.63,3.1005458525861007,3.9525691699604737
1965-07-01,2.63,4.695882518994421,3.543307086614167
1965-08-01,2.64,3.088576380297181,3.529411764705892
1965-09-01,2.65,3.076698960981528,3.515625
1965-10-01,2.66,4.641402676679807,4.313725490196085
1965-11-01,2.67,4.623522516499001,4.296875
1965-12-01,2.67,3.053216066295583,3.48837209302324
1966-01-01,2.68,3.04160852349078,3.875968992248069
1966-02-01,2.69,3.030088898183214,3.8610038610038755
1966-03-01,2.7,4.570699028745251,3.4482758620689724
1966-04-01,2.71,4.5533583660494426,4.230769230769216
1966-05-01,2.72,4.536148762975101,3.8167938931297662
1966-06-01,2.73,4.519068739521392,3.802281368821303
1966-07-01,2.74,4.502116837885395,4.1825095057034245
1966-08-01,2.75,4.485291622046428,4.166666666666652
1966-09-01,2.76,4.468591677361644,4.150943396226414
1966-10-01,2.77,4.452015610169147,4.135338345864659
1966-11-01,2.78,4.435562047401076,4.1198501872659055
1966-12-01,2.78,2.930209189336419,4.1198501872659055
1967-01-01,2.8,4.403017043569135,4.477611940298498
1967-02-01,2.81,4.386922955969008,4.460966542750944
1967-03-01,2.81,4.386922955969008,4.074074074074074
1967-04-01,2.82,2.887901134943771,4.0590405904058935
1967-05-01,2.83,2.877514319265506,4.044117647058809
1967-06-01,2.85,5.816687065938009,4.395604395604402
1967-07-01,2.86,5.795622730964767,4.379562043795615
1967-08-01,2.88,7.256645217533642,4.727272727272713
1967-09-01,2.88,4.277476078298981,4.347826086956519
1967-10-01,2.89,4.262284968270014,4.332129963898912
1967-11-01,2.91,4.23222412297759,4.676258992805771
1967-12-01,2.92,5.672371690910283,5.035971223021596
1968-01-01,2.94,7.102091194973959,5.000000000000004
1968-02-01,2.95,5.6126908612276205,4.982206405693956
1968-03-01,2.97,7.027256120920566,5.693950177935947
1968-04-01,2.99,6.978235817316425,6.028368794326244
1968-05-01,3.0,6.953981151506494,6.0070671378091856
1968-06-01,3.01,5.49701828051572,5.6140350877192935
1968-07-01,3.03,5.45951281394339,5.944055944055937
1968-08-01,3.04,5.440951308642017,5.555555555555558
1968-09-01,3.07,8.215013892088962,6.59722222222221
1968-10-01,3.08,6.765847545042414,6.57439446366781
1968-11-01,3.1,8.131553117218782,6.529209621993126
1968-12-01,3.11,5.314471869654525,6.506849315068486
1969-01-01,3.12,5.296881712168289,6.1224489795918435
1969-02-01,3.14,5.262048356236626,6.440677966101682
1969-03-01,3.16,6.5876223146235535,6.3973063973064015
