DATE,BOGZ1FL145020011Q
1945-10-01,37706.0
1946-10-01,41100.0
1947-10-01,45650.0
1948-10-01,51525.0
1949-10-01,50300.0
1950-10-01,53525.0
1951-10-01,67000.0
1952-01-01,69100.0
1952-04-01,67900.0
1952-07-01,68700.0
1952-10-01,69400.0
1953-01-01,70100.0
1953-04-01,71400.0
1953-07-01,72500.0
1953-10-01,71500.0
1954-01-01,71000.0
1954-04-01,70300.0
1954-07-01,70000.0
1954-10-01,70000.0
1955-01-01,71200.0
1955-04-01,72800.0
1955-07-01,74800.0
1955-10-01,77100.0
1956-01-01,79400.0
1956-04-01,81400.0
1956-07-01,82700.0
1956-10-01,84400.0
1957-01-01,85400.0
1957-04-01,86000.0
1957-07-01,87000.0
1957-10-01,86400.0
1958-01-01,85100.0
1958-04-01,83700.0
1958-07-01,83700.0
1958-10-01,84900.0
1959-01-01,86100.0
1959-04-01,88500.0
1959-07-01,89300.0
1959-10-01,90800.0
1960-01-01,93500.0
1960-04-01,94000.0
1960-07-01,95000.0
1960-10-01,93500.0
1961-01-01,92700.0
1961-04-01,92700.0
1961-07-01,94100.0
1961-10-01,95200.0
1962-01-01,97000.0
1962-04-01,98200.0
1962-07-01,99900.0
1962-10-01,100500.0
1963-01-01,101500.0
1963-04-01,102600.0
1963-07-01,104200.0
1963-10-01,105500.0
1964-01-01,107000.0
1964-04-01,108500.0
1964-07-01,110400.0
1964-10-01,112200.0
1965-01-01,115200.0
1965-04-01,117500.0
1965-07-01,119900.0
1965-10-01,122200.0
1966-01-01,125900.0
1966-04-01,129800.0
1966-07-01,133500.0
1966-10-01,138300.0
1967-01-01,141800.0
1967-04-01,143100.0
1967-07-01,145700.0
1967-10-01,149100.0
1968-01-01,151500.0
1968-04-01,154000.0
1968-07-01,156300.0
1968-10-01,159300.0
1969-01-01,163400.0
1969-04-01,166200.0
1969-07-01,170800.0
1969-10-01,174600.0
1970-01-01,176600.0
1970-04-01,179100.0
1970-07-01,182200.0
1970-10-01,183300.0
1971-01-01,187600.0
1971-04-01,190800.0
1971-07-01,193400.0
1971-10-01,194400.0
1972-01-01,197100.0
1972-04-01,201100.0
1972-07-01,205700.0
1972-10-01,209900.0
1973-01-01,219700.0
1973-04-01,229900.0
1973-07-01,236200.0
1973-10-01,249400.0
1974-01-01,265200.0
1974-04-01,284800.0
1974-07-01,302600.0
1974-10-01,318100.0
1975-01-01,315800.0
1975-04-01,313400.0
1975-07-01,317300.0
1975-10-01,319000.0
1976-01-01,326400.0
1976-04-01,337400.0
1976-07-01,347300.0
1976-10-01,354200.0
1977-01-01,365600.0
1977-04-01,372600.0
1977-07-01,382000.0
1977-10-01,391400.0
1978-01-01,405900.0
1978-04-01,421700.0
1978-07-01,434000.0
1978-10-01,451700.0
1979-01-01,472200.0
1979-04-01,494700.0
1979-07-01,513200.0
1979-10-01,532600.0
1980-01-01,561300.0
1980-04-01,574600.0
1980-07-01,585900.0
1980-10-01,598700.0
1981-01-01,623500.0
1981-04-01,632500.0
1981-07-01,646300.0
1981-10-01,651700.0
1982-01-01,651600.0
1982-04-01,651200.0
1982-07-01,651800.0
1982-10-01,642600.0
1983-01-01,634100.0
1983-04-01,639000.0
1983-07-01,654300.0
1983-10-01,665100.0
1984-01-01,689500.0
1984-04-01,710100.0
1984-07-01,726900.0
1984-10-01,737600.0
1985-01-01,738400.0
1985-04-01,740800.0
1985-07-01,739800.0
1985-10-01,750200.0
1986-01-01,745000.0
1986-04-01,746100.0
1986-07-01,744900.0
1986-10-01,745100.0
1987-01-01,757500.0
1987-04-01,772500.0
1987-07-01,779900.0
1987-10-01,804400.0
1988-01-01,816500.0
1988-04-01,835800.0
1988-07-01,851400.0
1988-10-01,869100.0
1989-01-01,891800.0
1989-04-01,903300.0
1989-07-01,905900.0
1989-10-01,914700.0
1990-01-01,919100.0
1990-04-01,926700.0
1990-07-01,948200.0
1990-10-01,948900.0
1991-01-01,934800.0
1991-04-01,924400.0
1991-07-01,926700.0
1991-10-01,934000.0
1992-01-01,930900.0
1992-04-01,939400.0
1992-07-01,945600.0
1992-10-01,949500.0
1993-01-01,962100.0
1993-04-01,972100.0
1993-07-01,976200.0
1993-10-01,983700.0
1994-01-01,992700.0
1994-04-01,1015000.0
1994-07-01,1033400.0
1994-10-01,1060000.0
1995-01-01,1092100.0
1995-04-01,1112200.0
1995-07-01,1119100.0
1995-10-01,1126100.0
1996-01-01,1127200.0
1996-04-01,1131500.0
1996-07-01,1139800.0
1996-10-01,1148100.0
1997-01-01,1153800.0
1997-04-01,1165800.0
1997-07-01,1177100.0
1997-10-01,1192900.0
1998-01-01,1203948.0
1998-04-01,1208622.0
1998-07-01,1212752.0
1998-10-01,1221805.0
1999-01-01,1236998.0
1999-04-01,1251534.0
1999-07-01,1276096.0
1999-10-01,1309133.0
2000-01-01,1330776.0
2000-04-01,1355386.0
2000-07-01,1374937.0
2000-10-01,1392688.0
2001-01-01,1386893.0
2001-04-01,1375571.0
2001-07-01,1355074.0
2001-10-01,1321482.0
2002-01-01,1305200.0
2002-04-01,1321012.0
2002-07-01,1341449.0
2002-10-01,1359855.0
2003-01-01,1396902.0
2003-04-01,1387537.0
2003-07-01,1389748.0
2003-10-01,1409298.0
2004-01-01,1443676.0
2004-04-01,1479450.0
