DATE,DTB3,3m growth rate,12m growth rate
1954-01-04,1.33,,
1954-01-05,1.28,,
1954-01-06,1.28,,
1954-01-07,1.31,,
1954-01-08,1.31,,
1954-01-11,1.33,,
1954-01-12,1.3,,
1954-01-13,1.3,,
1954-01-14,1.28,,
1954-01-15,1.2,,
1954-01-18,1.2,,
1954-01-20,1.16,,
1954-01-21,1.08,,
1954-01-22,1.0,,
1954-01-25,1.0,,
1954-01-26,1.0,,
1954-01-27,1.08,,
1954-01-28,0.96,,
1954-01-29,1.02,,
1954-02-01,1.04,,
1954-02-02,1.0,,
1954-02-03,1.02,,
1954-02-04,1.01,,
1954-02-05,0.9,,
1954-02-08,0.89,,
1954-02-09,0.88,,
1954-02-10,0.93,,
1954-02-11,0.94,,
1954-02-15,0.98,,
1954-02-16,0.98,,
1954-02-17,1.02,,
1954-02-18,0.97,,
1954-02-19,0.96,,
1954-02-23,0.95,,
1954-02-24,0.97,,
1954-02-25,1.0,,
1954-02-26,1.0,,
1954-03-01,1.03,,
1954-03-02,1.03,,
1954-03-03,1.05,,
1954-03-04,1.03,,
1954-03-05,1.02,,
1954-03-08,1.03,,
1954-03-09,1.03,,
1954-03-10,1.06,,
1954-03-11,1.05,,
1954-03-12,1.04,,
1954-03-15,1.04,,
1954-03-16,1.02,,
1954-03-17,1.01,,
1954-03-18,1.01,,
1954-03-19,1.0,,
1954-03-22,1.0,,
1954-03-23,1.0,,
1954-03-24,1.05,,
1954-03-25,1.07,,
1954-03-26,1.05,,
1954-03-29,1.05,,
1954-03-30,1.04,,
1954-03-31,1.03,,
1954-04-01,1.02,,
1954-04-02,1.0,,
1954-04-05,0.98,,
1954-04-06,0.97,,
1954-04-07,1.0,,
1954-04-08,1.0,,
1954-04-09,1.03,,
1954-04-12,1.04,,
1954-04-13,1.06,,
1954-04-14,1.04,,
1954-04-15,1.03,,
1954-04-16,1.03,,
1954-04-19,1.02,,
1954-04-20,1.0,,
1954-04-21,1.0,,
1954-04-22,0.98,,
1954-04-23,0.94,,
1954-04-26,0.85,,
1954-04-27,0.83,,
1954-04-28,0.82,,
1954-04-29,0.81,,
1954-04-30,0.81,,
1954-05-03,0.77,,
1954-05-04,0.72,,
1954-05-05,0.72,,
1954-05-06,0.75,,
1954-05-07,0.79,,
1954-05-10,0.8,,
1954-05-11,0.78,,
1954-05-12,0.82,,
1954-05-13,0.82,-85.55063220835468,
1954-05-14,0.8,-84.7412109375,
1954-05-17,0.8,-84.7412109375,
1954-05-18,0.81,-85.38311288715083,
1954-05-19,0.79,-86.77416249629486,
1954-05-20,0.78,-88.17035132367113,
1954-05-21,0.76,-88.31897482581141,
1954-05-24,0.73,-90.05698645005427,
1954-05-25,0.7,-91.05557799339294,
1954-05-26,0.7,-88.42110339506173,
1954-05-27,0.7,-88.42110339506173,
1954-05-28,0.72,-85.1578085654782,
1954-06-01,0.71,-81.32165585525958,
1954-06-02,0.71,-74.588319,
1954-06-03,0.68,-78.618624,
1954-06-04,0.66,-81.02526399999999,
1954-06-07,0.61,-89.82289352792691,
1954-06-08,0.61,-83.69824327068565,
1954-06-09,0.62,-86.34894957296908,
1954-06-10,0.61,-88.1645170848688,
1954-06-11,0.62,-85.223664,
1954-06-14,0.64,-84.50044573694116,
1954-06-15,0.63,-84.86171411159563,
1954-06-16,0.63,-75.99000000000001,
1954-06-17,0.61,-77.93218606903123,
1954-06-18,0.63,-73.73172772255566,
1954-06-21,0.63,-78.94135596266896,
1954-06-22,0.61,-82.26595012050993,
1954-06-23,0.62,-83.98000208506764,
1954-06-24,0.62,-83.98000208506764,
1954-06-25,0.64,-84.50044573694116,
1954-06-28,0.64,-81.04896390155932,
1954-06-29,0.64,-80.2469135802469,
1954-06-30,0.64,-79.40198003391625,
1954-07-01,0.65,-79.83647353918981,
1954-07-02,0.66,-81.02526399999999,
1954-07-06,0.66,-81.02526399999999,
1954-07-07,0.65,-84.1399508903,
1954-07-08,0.65,-84.1399508903,
1954-07-09,0.67,-83.42162288346933,
1954-07-12,0.69,-79.8605565779623,
1954-07-13,0.7,-77.81847132110342,
1954-07-14,0.73,-74.76853068791172,
1954-07-15,0.75,-71.88771449954265,
1954-07-16,0.73,-77.50593325679385,
1954-07-19,0.73,-76.63669684956372,
1954-07-20,0.72,-77.02811526207066,
1954-07-21,0.74,-74.36734916056862,
1954-07-22,0.75,-70.76895331712983,
1954-07-23,0.77,-66.21861855020144,
1954-07-26,0.78,-64.42925873406926,
1954-07-27,0.77,-64.846959,
1954-07-28,0.79,-61.04991899999999,
1954-07-29,0.79,-61.04991899999999,
1954-07-30,0.79,-67.95567196795574,
1954-08-02,0.78,-71.76139100392898,
1954-08-03,0.77,-71.07950617283952,
1954-08-04,0.79,-67.95567196795574,
1954-08-05,0.8,-64.9872203354224,
1954-08-06,0.83,-57.83389647567486,
1954-08-09,0.9,-39.386501598400415,
1954-08-10,0.88,-40.030464,
1954-08-11,0.93,-18.89876055565489,
1954-08-12,0.93,-15.50230595456885,
1954-08-13,0.93,-25.19479899999998,
1954-08-16,0.91,-31.425038999999988,
1954-08-17,0.91,-39.07203534017649,
1954-08-18,0.92,-38.76242953678093,
1954-08-19,0.93,-40.747274310653545,
1954-08-20,0.94,-33.26125168499006,
1954-08-23,1.0,-11.1512952084311,
1954-08-24,1.0,-11.1512952084311,
1954-08-25,0.98,-14.787439427150828,
1954-08-26,0.99,-3.9403990000000055,
1954-08-27,1.0,0.0,
1954-08-30,1.04,26.832062373011706,
1954-08-31,1.05,55.68464542046914,
1954-09-01,1.03,115.612132996492,
1954-09-02,1.02,128.080584646052,
1954-09-03,1.02,139.41164875585724,
1954-09-07,1.03,161.46214714008056,
1954-09-08,1.02,151.45519446185,
1954-09-09,1.02,207.9199207829559,
1954-09-10,1.02,302.7826003086421,
1954-09-13,1.03,318.8118035610521,
1954-09-14,1.04,269.7330757530865,
1954-09-15,1.02,177.90241565864778,
1954-09-16,1.0,144.140625,
1954-09-17,1.0,170.1603369180367,
1954-09-20,0.98,104.00879621454182,
1954-09-21,0.98,104.00879621454182,
1954-09-22,0.99,134.5205102539061,
1954-09-23,0.99,134.5205102539061,
1954-09-24,0.99,123.15195854290496,
1954-09-27,1.0,156.7388755879608,
1954-09-28,0.99,159.51494170372183,
1954-09-29,1.0,199.7406404186586,
1954-09-30,0.99,238.2589823080945,
1954-10-01,0.97,268.71837151187003,
1954-10-04,0.96,253.7470054144107,
1954-10-05,0.94,225.17657642648908,
1954-10-06,0.94,190.5236077770157,
1954-10-07,0.94,207.2401861175576,
1954-10-08,0.94,207.2401861175576,
1954-10-11,0.96,297.236623124723,
1954-10-13,0.98,386.10329018543393,
1954-10-14,0.99,593.7794605614785,
1954-10-15,1.0,622.2385408008081,
1954-10-18,1.0,576.7577564559984,
1954-10-19,0.99,593.7794605614785,
1954-10-20,1.01,604.2368351667154,
1954-10-21,1.0,496.0464477539063,
1954-10-22,1.0,534.8012922776866,
1954-10-25,1.0,534.8012922776866,
1954-10-26,1.0,622.2385408008081,
1954-10-27,1.01,560.5767702973429,
1954-10-28,1.01,560.5767702973429,
1954-10-29,1.0,622.2385408008081,
1954-11-01,1.0,576.7577564559984,
1954-11-03,1.01,604.2368351667154,
1954-11-04,1.01,520.2483236789703,
1954-11-05,0.97,427.67563462257385,
1954-11-08,0.94,365.3626441955564,
1954-11-09,0.87,241.4735853672028,
1954-11-10,0.88,235.95202408879229,
1954-11-12,0.9,245.77556177856692,
1954-11-15,0.9,245.77556177856692,
1954-11-16,0.89,251.48484156717203,
1954-11-17,0.9,267.55015580686944,
1954-11-18,0.88,197.599007022984,
1954-11-19,0.87,152.74387956017884,
1954-11-22,0.87,138.6079175343607,
1954-11-23,0.89,120.93706789797297,
1954-11-24,0.93,136.42137599999998,
1954-11-26,0.97,211.7421286762092,
1954-11-29,1.0,252.13448607609175,
1954-11-30,1.01,287.2179749716603,
1954-12-01,1.03,275.3375543776655,
1954-12-02,1.03,255.71636464197525,
1954-12-03,1.03,220.17395308701757,
1954-12-06,1.05,228.3815780259796,
1954-12-07,1.06,259.1373389289422,
1954-12-08,1.1,275.89138774833367,
1954-12-09,1.11,289.74769012675495,
1954-12-10,1.14,333.6217323912624,
1954-12-13,1.26,580.9320401946711,
1954-12-14,1.28,663.619443336353,
1954-12-15,1.23,487.64098847445257,
1954-12-16,1.24,477.2006249999998,
1954-12-17,1.25,414.4316525652057,
1954-12-20,1.29,322.07419753086424,
1954-12-21,1.26,320.2923564391094,
1954-12-22,1.22,196.14713019753796,
1954-12-23,1.2,177.19997704437688,
1954-12-24,1.2,177.19997704437688,
1954-12-27,1.15,155.05027264980868,
1954-12-28,1.12,129.4597528097756,
1954-12-29,1.08,89.90819786950455,
1954-12-30,1.03,50.45863054361684,
1954-12-31,1.02,38.640230785578055,
1955-01-03,1.07,31.079601000000025,
1955-01-04,1.07,31.079601000000025,
1955-01-05,1.08,47.4995580940262,
1955-01-06,1.1,52.4157902758726,
1955-01-07,1.11,51.80704100000004,
1955-01-10,1.2,77.2521970519239,
1955-01-11,1.23,88.30560599750092,
1955-01-12,1.28,138.50142585734173,
1955-01-13,1.35,206.85583565809796,
1955-01-14,1.36,216.04938271604956,
1955-01-17,1.36,203.95321028184583,
1955-01-18,1.33,189.07189989624848,0.0
1955-01-20,1.28,147.99286820894162,0.0
1955-01-21,1.29,155.83393697393464,0.78125
1955-01-24,1.31,161.6593654206937,0.0
1955-01-25,1.3,144.140625,-0.7633587786259555
1955-01-26,1.26,132.85281545958506,-5.263157894736848
1955-01-27,1.2,107.36,-7.692307692307699
1955-01-28,1.14,68.89601599999995,-12.307692307692319
1955-01-31,1.12,70.59558517284475,-12.49999999999999
1955-02-01,1.1,58.73271254289618,-8.333333333333325
1955-02-02,1.12,63.80656838247756,-6.666666666666654
1955-02-03,1.13,69.7356217417558,-2.5862068965517238
1955-02-04,1.08,41.62967010450114,0.0
1955-02-07,1.04,16.98585600000002,4.0000000000000036
1955-02-08,1.03,17.167758171304513,3.0000000000000027
1955-02-09,1.07,31.079601000000025,7.000000000000006
1955-02-10,1.07,36.45653285609634,-0.92592592592593
1955-02-11,1.06,42.605581536350726,10.416666666666675
1955-02-14,1.1,72.37957612967793,7.843137254901977
1955-02-15,1.1,87.52506567539984,5.769230769230771
1955-02-16,1.17,140.0114897367267,16.999999999999993
1955-02-17,1.2,165.59113187931754,17.647058823529417
1955-02-18,1.23,193.1629150040751,21.78217821782178
1955-02-21,1.3,236.2702734676409,44.44444444444444
1955-02-23,1.35,260.1063430029936,51.685393258426984
1955-02-24,1.37,266.72582160735817,55.68181818181819
1955-02-25,1.37,252.2753610000001,47.31182795698925
1955-02-28,1.37,252.2753610000001,45.74468085106385
1955-03-01,1.36,256.1351623769499,38.775510204081655
1955-03-02,1.33,200.6914426555016,35.71428571428572
1955-03-03,1.24,136.42137599999998,21.568627450980383
1955-03-04,1.17,87.38872099999995,20.618556701030922
1955-03-07,1.2,107.36,25.0
1955-03-08,1.19,100.53392099999998,25.263157894736832
1955-03-09,1.25,134.61434191475007,28.865979381443307
1955-03-10,1.27,149.9938867235386,27.0
1955-03-11,1.24,136.42137599999998,24.0
1955-03-14,1.25,144.140625,21.359223300970864
1955-03-15,1.23,119.95556311569467,19.41747572815533
1955-03-16,1.26,142.21257421446992,19.999999999999996
1955-03-17,1.28,203.2165775750511,24.271844660194162
1955-03-18,1.3,265.81540883512685,27.450980392156854
1955-03-21,1.32,429.93025402916254,28.155339805825253
1955-03-22,1.27,333.7946536721577,23.300970873786397
1955-03-23,1.31,348.86438195397034,23.584905660377366
1955-03-24,1.31,348.86438195397034,24.761904761904763
1955-03-25,1.29,341.3659387779917,24.03846153846154
1955-03-28,1.32,362.727901234568,26.923076923076916
1955-03-29,1.33,421.7661197178516,30.3921568627451
1955-03-30,1.4,570.5561225853252,38.6138613861386
1955-03-31,1.41,589.9211204599019,39.6039603960396
1955-04-01,1.4,512.2828797269129,39.99999999999999
1955-04-04,1.43,459.00070504455925,42.99999999999999
1955-04-05,1.46,413.2447150451837,46.0
1955-04-06,1.52,433.794816,44.76190476190476
1955-04-07,1.55,454.6784554481969,44.859813084112155
1955-04-08,1.55,412.83527936134055,47.61904761904763
