DATE,FEDFUNDS,3m growth rate,12m growth rate
1954-07-01,0.8,,
1954-08-01,1.22,,
1954-09-01,1.07,,
1954-10-01,0.85,27.44293212890625,
1954-11-01,0.83,-78.57735718256478,
1954-12-01,1.28,104.78812412619403,
1955-01-01,1.39,615.1275315190192,
1955-02-01,1.29,483.5075391731621,
1955-03-01,1.35,23.73575009405613,
1955-04-01,1.43,12.0172608894493,
1955-05-01,1.43,51.00290719566794,
1955-06-01,1.64,117.79119518441354,
1955-07-01,1.68,90.4991214150244,109.99999999999997
1955-08-01,1.96,252.923140831384,60.65573770491803
1955-09-01,2.18,212.2127123454532,103.73831775700934
1955-10-01,2.24,216.04938271604956,163.5294117647059
1955-11-01,2.35,106.65559299282408,183.13253012048193
1955-12-01,2.48,67.48686319312411,93.75
1956-01-01,2.45,43.11075210571289,76.25899280575541
1956-02-01,2.5,28.08214307451655,93.79844961240309
1956-03-01,2.5,3.2650385217282585,85.18518518518516
1956-04-01,2.62,30.779847866387723,83.21678321678323
1956-05-01,2.75,46.41000000000004,92.3076923076923
1956-06-01,2.71,38.07566031360003,65.24390243902441
1956-07-01,2.75,21.373984702189453,63.69047619047619
1956-08-01,2.73,-2.877508961409758,39.28571428571428
1956-09-01,2.95,40.41415812146853,35.321100917431195
1956-10-01,2.96,34.22582096414182,32.14285714285714
1956-11-01,2.88,23.856659575788907,22.5531914893617
1956-12-01,2.94,-1.349053200610284,18.5483870967742
1957-01-01,2.84,-15.25647676480304,15.918367346938766
1957-02-01,3.0,17.73756992669757,19.999999999999996
1957-03-01,2.96,2.7489807819027545,18.399999999999995
1957-04-01,3.0,24.51212889064685,14.50381679389312
1957-05-01,3.0,0.0,9.090909090909083
1957-06-01,3.0,5.515964877083701,10.701107011070121
1957-07-01,2.99,-1.326681469135793,8.727272727272739
1957-08-01,3.24,36.04889600000003,18.681318681318682
1957-09-01,3.47,78.99169482716053,17.627118644067785
1957-10-01,3.5,87.75323302931557,18.243243243243246
1957-11-01,3.28,5.0304760727303055,13.888888888888884
1957-12-01,2.98,-45.606480919114254,1.3605442176870763
1958-01-01,2.72,-63.52431649479382,-4.22535211267604
1958-02-01,1.67,-93.27998086421178,-44.333333333333336
1958-03-01,1.2,-97.3705802062906,-59.45945945945946
1958-04-01,1.26,-95.39524461615568,-58.00000000000001
1958-05-01,0.63,-97.97466758652872,-79.0
1958-06-01,0.93,-63.9249609375,-69.0
1958-07-01,0.68,-91.51692180282804,-77.25752508361204
1958-08-01,1.53,3378.5922532278205,-52.77777777777778
1958-09-01,1.76,1182.681636000149,-49.279538904899134
1958-10-01,1.8,4809.693370529567,-48.57142857142856
1958-11-01,2.27,384.549004329949,-30.79268292682926
1958-12-01,2.42,257.4462890625,-18.79194630872484
1959-01-01,2.48,260.3435086114921,-8.823529411764708
1959-02-01,2.43,31.31721562415024,45.50898203592817
1959-03-01,2.8,79.21347518137114,133.33333333333334
1959-04-01,2.96,102.93647897557284,134.92063492063494
1959-05-01,2.9,102.8462097619668,360.3174603174603
1959-06-01,3.39,114.8654896560028,264.51612903225805
1959-07-01,3.47,88.8648138467235,410.2941176470588
1959-08-01,3.5,112.16814816176311,128.7581699346405
1959-09-01,3.76,51.33960178858548,113.63636363636363
1959-10-01,3.98,73.06704925114175,121.11111111111113
1959-11-01,4.0,70.59558517284461,76.21145374449338
1959-12-01,3.99,26.806116724005943,64.87603305785126
1960-01-01,3.99,1.0088192574456478,60.88709677419355
1960-02-01,3.97,-2.966418433593732,63.37448559670782
1960-03-01,3.84,-14.210662365332183,37.142857142857146
1960-04-01,3.92,-6.835022088383679,32.432432432432435
1960-05-01,3.85,-11.553451270710656,32.75862068965518
1960-06-01,3.32,-44.123726126588416,-2.064896755162249
1960-07-01,3.23,-53.90372612557847,-6.91642651296831
1960-08-01,2.98,-64.10597687522967,-14.857142857142858
1960-09-01,2.6,-62.386732981978014,-30.85106382978723
1960-10-01,2.47,-65.80380982028471,-37.939698492462306
1960-11-01,2.44,-55.05366865931713,-39.0
1960-12-01,1.98,-66.36686355519765,-50.37593984962406
1961-01-01,1.45,-88.12361696601944,-63.65914786967419
1961-02-01,2.54,17.429053695618755,-36.020151133501265
1961-03-01,2.02,8.328995661766236,-47.39583333333333
1961-04-01,1.49,11.499537185361984,-61.98979591836735
1961-05-01,1.98,-63.07454167391441,-48.57142857142858
1961-06-01,1.73,-46.20041387069036,-47.891566265060234
1961-07-01,1.17,-61.98120276888211,-63.77708978328174
1961-08-01,2.0,4.102035568521689,-32.88590604026845
1961-09-01,1.88,39.459140583732186,-27.692307692307693
1961-10-01,2.26,1292.1637129910291,-8.502024291497989
1961-11-01,2.61,190.02941506249996,6.9672131147541005
1961-12-01,2.33,135.9349541272525,17.67676767676769
1962-01-01,2.15,-18.09317658168045,48.27586206896552
1962-02-01,2.37,-32.01214262353089,-6.69291338582677
1962-03-01,2.85,123.8493078821464,41.089108910891085
1962-04-01,2.78,179.5280172668721,86.57718120805369
1962-05-01,2.36,-1.677111680524368,19.191919191919183
1962-06-01,2.68,-21.808465520228715,54.913294797687875
1962-07-01,2.71,-9.697873019727243,131.62393162393164
1962-08-01,2.93,137.5868882787783,46.50000000000001
1962-09-01,2.9,37.10484921657704,54.255319148936174
1962-10-01,2.9,31.13385486534281,28.31858407079646
1962-11-01,2.94,1.3721926446731203,12.643678160919535
1962-12-01,2.93,4.2025842769706,25.7510729613734
1963-01-01,2.92,2.7872895779753826,35.813953488372086
1963-02-01,3.0,8.416578473393965,26.582278481012644
1963-03-01,2.98,7.0026602113783865,4.561403508771922
1963-04-01,2.9,-2.7117064662561474,4.316546762589923
1963-05-01,3.0,0.0,27.118644067796627
1963-06-01,2.99,1.3490534593932235,11.567164179104484
1963-07-01,3.02,17.60770635716218,11.439114391143912
1963-08-01,3.49,83.15411853086418,19.11262798634812
1963-09-01,3.48,83.49837493644712,19.999999999999996
1963-10-01,3.5,80.40327010326254,20.68965517241379
1963-11-01,3.48,-1.1412151403584423,18.36734693877551
1963-12-01,3.38,-11.008233980064963,15.358361774744012
1964-01-01,3.48,-2.266196977925849,19.17808219178083
1964-02-01,3.48,0.0,15.999999999999993
1964-03-01,3.43,6.0497573270261285,15.100671140939603
1964-04-01,3.47,-1.1444803524206182,19.65517241379311
1964-05-01,3.5,2.318744290973762,16.666666666666675
1964-06-01,3.5,8.416578473393965,17.056856187290958
1964-07-01,3.42,-5.640305734246043,13.245033112582782
1964-08-01,3.5,0.0,0.2865329512893977
1964-09-01,3.45,-5.592998750520595,-0.8620689655172376
1964-10-01,3.36,-6.835022088383679,-4.0000000000000036
1964-11-01,3.52,2.305380864639761,1.1494252873563315
1964-12-01,3.85,55.08383706955995,13.905325443786998
