DATE,IC4WSA,3m growth rate,12m growth rate
1967-01-28,209000,,
1967-02-04,211000,,
1967-02-11,216500,,
1967-02-18,219500,,
1967-02-25,229000,,
1967-03-04,252500,,
1967-03-11,255500,,
1967-03-18,259500,,
1967-03-25,260750,,
1967-04-01,248000,,
1967-04-08,252000,,
1967-04-15,265500,,
1967-04-22,265000,158.46298238112237,
1967-04-29,264000,145.06759358302466,
1967-05-06,263250,118.59585200200983,
1967-05-13,246250,58.40426050339229,
1967-05-20,242500,25.7491454438092,
1967-05-27,235750,-24.00915464461835,
1967-06-03,234250,-29.34306728712015,
1967-06-10,236000,-31.593312134049,
1967-06-17,234500,-34.58548589773689,
1967-06-24,232000,-23.414735560967227,
1967-07-01,222250,-39.4986708922605,
1967-07-08,222750,-50.45352645266572,
1967-07-15,227000,-46.15815505290488,
1967-07-22,232500,-39.844391888408126,
1967-07-29,232500,-39.15592269205735,
1967-08-05,227750,-26.830752956135395,
1967-08-12,218000,-34.6901024243041,
1967-08-19,211750,-34.91410662778289,
1967-08-26,212750,-31.960693745895007,
1967-09-02,212000,-34.88284288963578,
1967-09-09,219250,-23.58352154861546,
1967-09-16,220500,-18.401451088025457,
1967-09-23,219500,-4.8582753369861065,
1967-09-30,216000,-11.581294200878467,
1967-10-07,216000,-18.01930876443849,
1967-10-14,212500,-30.21792027535627,
1967-10-21,216000,-25.505677337061083,
1967-10-28,216750,-17.96430117337883,
1967-11-04,214500,-6.269008373942853,
1967-11-11,216500,9.279305616009758,
1967-11-18,210250,-4.618149732492116,
1967-11-25,206250,-10.415600852880813,
1967-12-02,199750,-31.104835125897377,
1967-12-09,201500,-30.262587951778187,
1967-12-16,203000,-26.844656590295635,
1967-12-23,210000,-10.656661998933092,
1967-12-30,215000,-1.839031415220016,
1968-01-06,215250,5.277824746542792,
1968-01-13,219750,7.127391548895168,
1968-01-20,220250,6.61719286200726,
1968-01-27,215750,2.351457501260401,3.229665071770338
1968-02-03,221250,9.069046059346196,4.857819905213279
1968-02-10,218250,16.1109000668203,0.8083140877598094
1968-02-17,212000,11.626578904409302,-3.4168564920273314
1968-02-24,210750,23.91480027989161,-7.969432314410485
1968-03-02,197250,-8.173539269398876,-21.881188118811878
1968-03-09,195750,-13.53846704498125,-23.385518590998046
1968-03-16,194250,-26.79058593749999,-25.144508670520228
1968-03-23,196000,-30.933023314313974,-24.83221476510067
1968-03-30,196500,-30.549147927054637,-20.766129032258064
1968-04-06,193250,-40.19155991174392,-23.31349206349206
