DATE,INTDSRUSM193N,3m growth rate,12m growth rate
1950-01-01,1.5,,
1950-02-01,1.5,,
1950-03-01,1.5,,
1950-04-01,1.5,0.0,
1950-05-01,1.5,0.0,
1950-06-01,1.5,0.0,
1950-07-01,1.5,0.0,
1950-08-01,1.59,26.247696000000037,
1950-09-01,1.75,85.26234567901238,
1950-10-01,1.75,85.26234567901238,
1950-11-01,1.75,46.74513004895735,
1950-12-01,1.75,0.0,
1951-01-01,1.75,0.0,16.666666666666675
1951-02-01,1.75,0.0,16.666666666666675
1951-03-01,1.75,0.0,16.666666666666675
1951-04-01,1.75,0.0,16.666666666666675
1951-05-01,1.75,0.0,16.666666666666675
1951-06-01,1.75,0.0,16.666666666666675
1951-07-01,1.75,0.0,16.666666666666675
1951-08-01,1.75,0.0,10.062893081761004
1951-09-01,1.75,0.0,0.0
1951-10-01,1.75,0.0,0.0
1951-11-01,1.75,0.0,0.0
1951-12-01,1.75,0.0,0.0
1952-01-01,1.75,0.0,0.0
1952-02-01,1.75,0.0,0.0
1952-03-01,1.75,0.0,0.0
1952-04-01,1.75,0.0,0.0
1952-05-01,1.75,0.0,0.0
1952-06-01,1.75,0.0,0.0
1952-07-01,1.75,0.0,0.0
1952-08-01,1.75,0.0,0.0
1952-09-01,1.75,0.0,0.0
1952-10-01,1.75,0.0,0.0
1952-11-01,1.75,0.0,0.0
1952-12-01,1.75,0.0,0.0
1953-01-01,1.88,33.19232570428987,7.428571428571429
1953-02-01,2.0,70.59558517284461,14.28571428571428
1953-03-01,2.0,70.59558517284461,14.28571428571428
1953-04-01,2.0,28.08214307451655,14.28571428571428
1953-05-01,2.0,0.0,14.28571428571428
1953-06-01,2.0,0.0,14.28571428571428
1953-07-01,2.0,0.0,14.28571428571428
1953-08-01,2.0,0.0,14.28571428571428
1953-09-01,2.0,0.0,14.28571428571428
1953-10-01,2.0,0.0,14.28571428571428
1953-11-01,2.0,0.0,14.28571428571428
1953-12-01,2.0,0.0,14.28571428571428
1954-01-01,2.0,0.0,6.382978723404253
1954-02-01,1.79,-35.83589493749999,-10.499999999999998
1954-03-01,1.75,-41.3818359375,-12.5
1954-04-01,1.63,-55.88051493750002,-18.500000000000007
1954-05-01,1.5,-50.68796647412135,-25.0
1954-06-01,1.5,-46.02249062890464,-25.0
1954-07-01,1.5,-28.2842377802514,-25.0
1954-08-01,1.5,0.0,-25.0
1954-09-01,1.5,0.0,-25.0
1954-10-01,1.5,0.0,-25.0
1954-11-01,1.5,0.0,-25.0
1954-12-01,1.5,0.0,-25.0
1955-01-01,1.5,0.0,-25.0
1955-02-01,1.5,0.0,-16.201117318435752
1955-03-01,1.5,0.0,-14.28571428571429
1955-04-01,1.63,39.43936019753088,0.0
