DATE,NFORBRES,3m growth rate,12m growth rate
1959-01-01,-0.054,,
1959-02-01,-0.051,,
1959-03-01,-0.139,,
1959-04-01,-0.261,54474.15123456793,
1959-05-01,-0.32,154895.54263058858,
1959-06-01,-0.523,19942.29981265977,
1959-07-01,-0.545,1801.183251662339,
1959-08-01,-0.542,722.995068511963,
1959-09-01,-0.484,-26.65429436965005,
1959-10-01,-0.466,-46.54877564068012,
1959-11-01,-0.415,-65.62875680463031,
1959-12-01,-0.435,-34.750741413691976,
1960-01-01,-0.373,-58.95203224642977,590.7407407407408
1960-02-01,-0.356,-45.8488598583165,598.0392156862745
1960-03-01,-0.218,-93.69233025496476,56.8345323741007
1960-04-01,-0.18,-94.57681158481569,-31.034482758620697
1960-05-01,-0.051,-99.9578807419291,-84.0625
1960-06-01,0.045,-99.81843836680474,-108.60420650095601
1960-07-01,0.122,-78.89675201950922,-122.38532110091742
1960-08-01,0.246,54032.70434980427,-145.38745387453872
1960-09-01,0.412,702549.6091693338,-185.12396694214877
1960-10-01,0.495,27000.760178182754,-206.22317596566523
1960-11-01,0.61,3680.758277194516,-246.9879518072289
1960-12-01,0.669,595.2093540844046,-253.79310344827587
1961-01-01,0.706,313.80716723318454,-289.2761394101877
1961-02-01,0.516,-48.79887936312427,-244.94382022471913
1961-03-01,0.476,-74.3714910581286,-318.348623853211
1961-04-01,0.559,-60.69675330231741,-410.5555555555556
1961-05-01,0.461,-36.29039755425401,-1003.9215686274512
1961-06-01,0.527,50.25005856934615,1071.1111111111113
1961-07-01,0.562,2.1640334808715966,360.65573770491807
1961-08-01,0.514,54.54279925731771,108.9430894308943
1961-09-01,0.542,11.880573861678489,31.553398058252434
1961-10-01,0.461,-54.7250020541066,-6.8686868686868685
1961-11-01,0.493,-15.36788366022661,-19.180327868852455
1961-12-01,0.451,-52.058786659968646,-32.585949177877424
1962-01-01,0.536,82.74918852871949,-24.079320113314438
1962-02-01,0.434,-39.9419480947595,-15.891472868217061
1962-03-01,0.383,-47.98975155205844,-19.53781512605042
1962-04-01,0.42,-62.30029057688653,-24.865831842576036
1962-05-01,0.456,21.871021860908836,-1.0845986984815648
1962-06-01,0.371,-11.955842385656856,-29.601518026565465
1962-07-01,0.442,22.656880672147928,-21.352313167259794
1962-08-01,0.405,-37.77559934190143,-21.206225680933844
1962-09-01,0.409,47.70581509186134,-24.538745387453886
1962-10-01,0.414,-23.03163040496543,-10.195227765726688
1962-11-01,0.437,35.551914250565005,-11.359026369168356
1962-12-01,0.312,-66.13702234427477,-30.820399113082043
1963-01-01,0.359,-43.45731471738078,-33.0223880597015
1963-02-01,0.295,-79.23354735682577,-32.02764976958525
1963-03-01,0.286,-29.39332561728396,-25.32637075718016
1963-04-01,0.327,-31.164381920251337,-22.142857142857142
1963-05-01,0.22,-69.06838048317616,-51.75438596491229
1963-06-01,0.158,-90.6853998772594,-57.41239892183289
1963-07-01,0.156,-94.82026689197234,-64.70588235294117
1963-08-01,0.116,-92.270680964415,-71.35802469135803
1963-09-01,0.109,-77.34950779049727,-73.34963325183375
1963-10-01,0.077,-94.06440162484152,-81.40096618357488
1963-11-01,0.092,-60.43425456077571,-78.94736842105263
1963-12-01,0.158,341.49150965490406,-49.358974358974365
1964-01-01,0.166,2060.0780882655363,-53.76044568245124
1964-02-01,0.111,111.90470799713052,-62.37288135593219
1964-03-01,0.108,-78.16934963498537,-62.237762237762226
1964-04-01,0.141,-47.94719968601504,-56.88073394495413
1964-05-01,0.094,-48.56964770165041,-57.27272727272727
1964-06-01,0.107,-3.652580172352171,-32.27848101265823
1964-07-01,0.113,-58.74873003550745,-27.564102564102566
1964-08-01,0.106,61.70075461900068,-8.62068965517242
1964-09-01,0.086,-58.26900937850734,-21.100917431192666
1964-10-01,0.077,-78.43998161981904,0.0
1964-11-01,0.008,-99.99675558435538,-91.30434782608697
1964-12-01,0.142,643.2921951292282,-10.126582278481022
1965-01-01,0.115,397.5405257257832,-30.722891566265066
1965-02-01,0.007,-41.3818359375,-93.69369369369369
1965-03-01,-0.045,-98.99145175598576,-141.66666666666666
1965-04-01,-0.13,63.29844447382615,-192.1985815602837
1965-05-01,-0.161,27984000.0,-271.27659574468083
1965-06-01,-0.175,22771.89452827313,-263.55140186915884
1965-07-01,-0.175,228.3815780259794,-254.86725663716814
1965-08-01,-0.151,-22.624354511444544,-242.45283018867926
1965-09-01,-0.144,-54.15438809829239,-267.4418604651163
1965-10-01,-0.13,-69.5476218242399,-268.83116883116884
1965-11-01,-0.08,-92.12134363382762,-1100.0
1965-12-01,-0.021,-99.95476993513697,-114.7887323943662
1966-01-01,-0.041,-99.01062252722244,-135.65217391304347
1966-02-01,-0.135,710.9146118164062,-2028.571428571429
1966-03-01,-0.218,1161211.6839177087,384.4444444444445
1966-04-01,-0.282,223700.47626108493,116.9230769230769
1966-05-01,-0.346,4214.885951516721,114.90683229813664
1966-06-01,-0.351,572.0514020174151,100.57142857142858
1966-07-01,-0.363,174.5554486553528,107.42857142857143
1966-08-01,-0.368,27.96372667833733,143.7086092715232
1966-09-01,-0.398,65.31178770464817,176.3888888888889
1966-10-01,-0.401,48.91930144032335,208.46153846153848
1966-11-01,-0.222,-86.75595575017934,177.5
1966-12-01,-0.193,-94.47035885806172,819.047619047619
1967-01-01,-0.007,-99.99999071429954,-82.92682926829269
1967-02-01,0.005,-99.99997426832132,-103.7037037037037
1967-03-01,0.214,51.15616239480543,-198.1651376146789
1967-04-01,0.204,72131988.96293207,-172.3404255319149
1967-05-01,0.276,928445176.1600004,-179.76878612716766
1967-06-01,0.246,74.61652252054078,-170.0854700854701
1967-07-01,0.303,386.6871103150705,-183.4710743801653
1967-08-01,0.284,12.108110244790192,-177.17391304347828
1967-09-01,0.253,11.877217448658396,-163.56783919597987
1967-10-01,0.206,-78.63522283551121,-151.3715710723192
1967-11-01,0.226,-59.898520438297645,-201.8018018018018
1967-12-01,0.147,-88.60308644227747,-176.1658031088083
1968-01-01,0.141,-78.05136233229486,-2114.2857142857138
1968-02-01,0.013,-99.99890518773869,159.99999999999997
1968-03-01,-0.322,2202.2588324823514,-250.46728971962614
1968-04-01,-0.35,3696.6077224927694,-271.5686274509804
1968-05-01,-0.381,73777834.66965444,-238.04347826086953
1968-06-01,-0.366,66.9171092531555,-248.78048780487805
1968-07-01,-0.176,-93.60591369596,-158.08580858085807
1968-08-01,-0.236,-85.27863403421972,-183.09859154929578
1968-09-01,-0.143,-97.66965721817,-156.52173913043475
1968-10-01,-0.198,60.180664062500135,-196.11650485436894
1968-11-01,-0.237,1.705718484464147,-204.86725663716814
1968-12-01,-0.32,2407.5855781411174,-317.687074829932
1969-01-01,-0.49,3650.796992171556,-447.51773049645396
1969-02-01,-0.581,3511.6956451813417,-4569.2307692307695
1969-03-01,-0.683,1975.309630594253,112.11180124223606
1969-04-01,-0.836,747.3069908501612,138.8571428571429
1969-05-01,-1.119,1275.9917073337542,193.70078740157481
1969-06-01,-1.081,527.5090029676138,195.35519125683058
1969-07-01,-1.027,127.74909747942904,483.52272727272725
1969-08-01,-0.982,-40.690316696309615,316.10169491525426
1969-09-01,-0.805,-69.24747744780856,462.937062937063
1969-10-01,-0.987,-14.692574353589327,398.48484848484844
1969-11-01,-0.974,-3.2190509924237,310.9704641350211
1969-12-01,-0.833,14.655920183246815,160.3125
1970-01-01,-0.785,-59.98617980228197,60.20408163265307
1970-02-01,-0.872,-35.75636407914615,50.08605851979346
