DATE,NOCDFSA066MSFRBPHI,3m growth rate,12m growth rate
1968-05-01,30.6,,
1968-06-01,18.2,,
1968-07-01,15.7,,
1968-08-01,-7.6,-99.61948773210013,
1968-09-01,20.7,67.33848388553947,
1968-10-01,24.3,473.8871291987746,
1968-11-01,29.2,21690.99377690472,
1968-12-01,22.7,44.617898701911685,
1969-01-01,4.2,-99.9107574302814,
1969-02-01,12.5,-96.64178384708318,
1969-03-01,34.2,415.22982554540977,
1969-04-01,22.5,82263.14296126612,
1969-05-01,19.6,504.4831973376001,-35.94771241830065
1969-06-01,21.2,-85.23481069332792,16.483516483516492
1969-07-01,2.3,-99.98908104008537,-85.35031847133759
1969-08-01,16.9,-44.72579142096581,-322.36842105263156
1969-09-01,6.2,-99.26848486803276,-70.04830917874396
1969-10-01,3.0,189.4500805814731,-87.65432098765432
1969-11-01,7.5,-96.1211924247242,-74.31506849315068
1969-12-01,9.6,474.8018723992199,-57.70925110132159
1970-01-01,-5.2,802.6686419753087,-223.80952380952382
1970-02-01,5.4,-73.126144,-56.8
1970-03-01,0.9,-99.99227523803712,-97.36842105263158
1970-04-01,7.5,332.74462170879866,-66.66666666666667
1970-05-01,-1.3,-99.66410899798848,-106.63265306122449
1970-06-01,5.9,184587.71528730373,-72.1698113207547
1970-07-01,14.8,1416.3582135308643,543.4782608695654
1970-08-01,2.6,1500.0,-84.61538461538461
1970-09-01,28.7,55891.16970271,362.9032258064516
1970-10-01,16.1,40.04146409546729,436.66666666666674
1970-11-01,5.1,1380.4280749973732,-32.00000000000001
1970-12-01,19.7,-77.80080031725593,105.20833333333334
1971-01-01,26.7,656.3826202962182,-613.4615384615385
1971-02-01,32.6,166851.25800401205,503.7037037037037
1971-03-01,19.5,-3.99948987160893,2066.666666666667
1971-04-01,27.5,12.53451145093154,266.66666666666663
1971-05-01,24.0,-70.62522379479098,-1946.153846153846
1971-06-01,23.7,118.20009663527182,301.6949152542373
1971-07-01,9.7,-98.45205273301004,-34.45945945945946
1971-08-01,28.0,85.26234567901238,976.9230769230768
1971-09-01,25.3,29.863977578865963,-11.846689895470375
1971-10-01,34.0,14994.847545412693,111.18012422360249
1971-11-01,24.7,-39.4442081261714,384.31372549019613
1971-12-01,20.3,-58.55214433276488,3.0456852791878264
1972-01-01,31.0,-30.891557213155973,16.104868913857672
1972-02-01,20.3,-54.37568693666026,-37.73006134969326
1972-03-01,28.9,310.7780409509669,48.20512820512819
1972-04-01,18.9,-86.18342364710712,-31.272727272727273
1972-05-01,21.6,28.183124359118583,-9.999999999999998
1972-06-01,15.7,-91.2902189312233,-33.755274261603375
1972-07-01,30.1,543.3077237172145,210.3092783505155
1972-08-01,25.1,82.33913126535033,-10.357142857142854
1972-09-01,22.0,285.56012611227743,-13.043478260869568
1972-10-01,28.2,-22.95748512257485,-17.05882352941177
1972-11-01,30.8,126.7294737867406,24.696356275303643
1972-12-01,33.2,418.6347489925554,63.54679802955665
1973-01-01,42.2,401.479715225566,36.12903225806452
1973-02-01,26.1,-48.43450829358903,28.57142857142858
1973-03-01,56.2,721.0940923563224,94.46366782006923
1973-04-01,33.9,-58.35633070396288,79.36507936507937
1973-05-01,33.7,177.94417331386367,56.01851851851851
1973-06-01,24.0,-96.67417261821132,52.86624203821657
1973-07-01,31.1,-29.165837523160956,3.322259136212624
1973-08-01,7.4,-99.76750839510954,-70.5179282868526
1973-09-01,2.5,-99.98822624300732,-88.63636363636364
1973-10-01,-0.6,-99.99998614637444,-102.12765957446808
1973-11-01,18.9,4155.203531740335,-38.63636363636365
1973-12-01,11.7,47871.51257599999,-64.75903614457832
1974-01-01,-4.1,217937.1141975308,-109.71563981042654
1974-02-01,-9.8,-92.77135185279268,-137.54789272030652
1974-03-01,-8.2,-75.87252009687393,-114.59074733096087
1974-04-01,-12.6,8819.62823465962,-137.16814159292036
1974-05-01,-5.6,-89.33777592669722,-116.61721068249258
1974-06-01,-2.0,-99.6461130293751,-108.33333333333333
1974-07-01,-5.0,-97.52030745204029,-116.07717041800643
1974-08-01,-0.6,-99.9868218971262,-108.10810810810811
1974-09-01,12.8,167672.16000000003,412.0
1974-10-01,-25.8,70792.257536,4200.0
1974-11-01,-18.3,86536406.25000003,-196.82539682539684
1974-12-01,-41.0,10426.780039072037,-450.4273504273504
1975-01-01,-27.0,19.94336610993146,558.5365853658537
1975-02-01,-21.0,73.40947364627397,114.28571428571428
1975-03-01,-21.7,-92.15300260354644,164.63414634146343
1975-04-01,-26.3,-9.974003492391436,108.73015873015875
1975-05-01,-9.2,-96.31638586802823,64.28571428571428
1975-06-01,6.8,-99.03573430725852,-440.00000000000006
1975-07-01,15.2,-88.84289917316534,-404.0
1975-08-01,18.4,1500.0,-3166.6666666666665
1975-09-01,22.0,10856.076914787898,71.875
1975-10-01,22.4,371.6477006775576,-186.82170542635657
1975-11-01,25.3,257.4462890625002,-238.25136612021856
1975-12-01,17.0,-64.34627074653372,-141.46341463414635
1976-01-01,4.7,-99.8061796567282,-117.4074074074074
1976-02-01,17.7,-76.04418333525854,-184.2857142857143
1976-03-01,31.3,1049.163080063697,-244.23963133640552
1976-04-01,37.8,418284.6742440744,-243.72623574144487
1976-05-01,17.8,2.279110826356967,-293.47826086956525
1976-06-01,22.4,-73.76900750703838,229.41176470588235
1976-07-01,11.3,-99.20136824486676,-25.657894736842103
1976-08-01,20.0,59.3822573216662,8.69565217391306
1976-09-01,15.7,-75.86726542563798,-28.636363636363637
1976-10-01,16.9,400.3029279327003,-24.55357142857143
1976-11-01,13.7,-77.9827899375,-45.8498023715415
1976-12-01,18.7,101.26479558139692,9.999999999999986
1977-01-01,35.4,1825.1573407396536,653.1914893617021
1977-02-01,23.6,780.5737668380392,33.33333333333335
1977-03-01,20.4,41.629670104501024,-34.824281150159756
1977-04-01,34.5,-9.788203367878513,-8.73015873015872
1977-05-01,23.9,5.182524923588949,34.2696629213483
1977-06-01,17.9,-40.72228502292467,-20.089285714285722
1977-07-01,20.0,-88.7061087290265,76.99115044247786
1977-08-01,14.2,-87.53874527329351,-29.000000000000004
1977-09-01,12.2,-78.42120452468984,-22.292993630573253
1977-10-01,15.2,-66.637824,-10.059171597633132
1977-11-01,9.6,-79.11033118981779,-29.92700729927007
1977-12-01,24.9,1635.234068212252,33.155080213903744
1978-01-01,15.1,-2.6057231323879937,-57.34463276836158
1978-02-01,8.2,-46.76828266661845,-65.2542372881356
1978-03-01,12.7,-93.23266780852212,-37.745098039215684
1978-04-01,16.0,26.058501858758,-53.623188405797094
1978-05-01,17.8,2120.366159770767,-25.52301255230125
1978-06-01,16.4,178.0740795656059,-8.37988826815642
1978-07-01,13.7,-46.247045745849626,-31.500000000000007
1978-08-01,18.1,6.913929106389394,27.464788732394375
1978-09-01,11.9,-72.27877273038129,-2.4590163934426146
1978-10-01,18.8,254.6084893516014,23.684210526315795
1978-11-01,14.2,-62.11746108322525,47.91666666666667
1978-12-01,6.9,-88.69661507291826,-72.28915662650603
1979-01-01,-3.2,-99.91606008671468,-121.19205298013244
1979-02-01,1.6,-99.9838814283872,-80.48780487804878
1979-03-01,-0.9,-99.97105499194186,-107.08661417322836
1979-04-01,1.3,-97.27621078491212,-91.875
1979-05-01,4.8,7999.999999999995,-73.03370786516854
1979-06-01,-5.2,111340.57308337142,-131.70731707317074
1979-07-01,-14.7,1634817.8285074043,-207.29927007299267
1979-08-01,-10.8,2462.8906250000023,-159.6685082872928
1979-09-01,-19.8,20920.710278001465,-266.38655462184875
1979-10-01,-26.5,956.1221636164496,-240.95744680851064
1979-11-01,-3.9,-98.29955180231671,-127.46478873239437
1979-12-01,-8.1,-97.1992179495936,-217.39130434782606
1980-01-01,-20.1,-66.90207755902333,528.125
1980-02-01,-22.9,118773.07612340232,-1531.2499999999998
1980-03-01,-29.1,16558.346081691107,3133.3333333333335
1980-04-01,-32.4,575.1430652418787,-2592.307692307692
1980-05-01,-53.5,2879.018489643531,-1214.5833333333335
1980-06-01,-47.1,586.2963238117794,805.7692307692308
1980-07-01,-46.2,313.41655282524323,214.28571428571433
1980-08-01,-34.5,-82.7073619181981,219.44444444444443
1980-09-01,-7.5,-99.9357073354524,-62.121212121212125
1980-10-01,13.9,-99.18060879370996,-152.45283018867926
1980-11-01,4.9,-99.959308102692,-225.64102564102564
