DATE,PAYEMS,3m growth rate,12m growth rate
1939-01-01,29923,,
1939-02-01,30100,,
1939-03-01,30280,,
1939-04-01,30094,2.3055362717591565,
1939-05-01,30299,2.670859591683339,
1939-06-01,30502,2.9650378900722085,
1939-07-01,30419,4.390280594977702,
1939-08-01,30663,4.892730678165846,
1939-09-01,31031,7.119816068918405,
1939-10-01,31411,13.696558655630952,
1939-11-01,31470,10.950279245364246,
1939-12-01,31542,6.751460229135731,
1940-01-01,31603,2.4675124894930622,5.614410319820884
1940-02-01,31715,3.150631538737758,5.365448504983394
1940-03-01,31825,3.637455027363501,5.102377807133429
1940-04-01,31701,1.246170121831902,5.339934870738361
1940-05-01,31879,2.084521147156537,5.214693554242711
1940-06-01,31977,1.9241781829892668,4.835748475509805
1940-07-01,31942,3.0757664503656024,5.006739209046973
1940-08-01,32352,6.068341143640921,5.508267292828495
1940-09-01,32810,10.834267102768605,5.732976700718639
1940-10-01,33267,17.653846798466088,5.908758078380183
1940-11-01,33669,17.30494896621664,6.987607244995231
1940-12-01,34174,17.69508823833863,8.344429649356421
1941-01-01,34481,15.415691328208482,9.10673037369869
1941-02-01,34843,14.69415685374129,9.862840927006156
1941-03-01,35092,11.185773663158404,10.265514532600161
1941-04-01,35468,11.95084838649918,11.882905902022012
1941-05-01,36182,16.28082743945496,13.497913987264344
1941-06-01,36650,18.977114828808684,14.613628545517088
1941-07-01,37137,20.193358735263843,16.2638532339866
1941-08-01,37544,15.928946071013762,16.048466864490596
1941-09-01,37835,13.574030255124004,15.315452605912828
1941-10-01,37949,9.037045259065325,14.074007274476209
1941-11-01,38024,5.212911879206272,12.934747096735876
1941-12-01,38104,2.8744013103051413,11.49997073798794
1942-01-01,38347,4.26156246216145,11.21197181056235
1942-02-01,38512,5.233275034954787,10.530092127543544
1942-03-01,38935,9.013037820659896,10.951213951897865
1942-04-01,39352,10.902583780731124,10.950716138491035
1942-05-01,39771,13.7317580028143,9.919296887955342
1942-06-01,40029,11.721883001601777,9.219645293315137
1942-07-01,40472,11.879734580758328,8.980262272127536
1942-08-01,40988,12.813446193032728,9.173236735563606
1942-09-01,41259,12.86929902413705,9.049821593762397
1942-10-01,41515,10.71373530926918,9.396822050646914
1942-11-01,41674,6.864593828543364,9.59920050494425
1942-12-01,41915,6.513116282104359,10.001574637833288
1943-01-01,42172,6.48210362944508,9.974704670508782
1943-02-01,42393,7.081847340690017,10.077378479434973
1943-03-01,42552,6.218955692010297,9.289842044433039
1943-04-01,42647,4.582050657995507,8.373144948160194
1943-05-01,42596,1.9292125270730096,7.103165623192775
1943-06-01,42781,2.170100002533615,6.875015613680091
1943-07-01,42700,0.4980315738793095,5.505040521842264
1943-08-01,42546,-0.4687015911072012,3.8011125207377816
1943-09-01,42492,-2.6748764942897685,2.9884388860612177
1943-10-01,42675,-0.2339864455728757,2.794170781645189
1943-11-01,42821,2.610611943452445,2.752315592455723
1943-12-01,42746,2.4125628673216992,1.9825838005487206
1944-01-01,42654,-0.1966913106584256,1.1429384425685196
1944-02-01,42538,-2.617471421932726,0.3420376005472514
1944-03-01,42294,-4.163020380132865,-0.606316976875354
1944-04-01,42063,-5.428142826745286,-1.36938119914648
1944-05-01,41985,-5.099530192125878,-1.4344069865715126
1944-06-01,41947,-3.2416218036164013,-1.9494635469016641
1944-07-01,41904,-1.5034660315759618,-1.8641686182669814
1944-08-01,41850,-1.2799835107136004,-1.6358764631222655
1944-09-01,41679,-2.531218330197682,-1.9133013273086696
1944-10-01,41708,-1.857857386653872,-2.265963678968952
1944-11-01,41711,-1.321950042142661,-2.592186076924874
1944-12-01,41860,1.7484341199912157,-2.0727085575258486
1945-01-01,41895,1.8055183634540617,-1.7794345196230132
1945-02-01,41897,1.795668624284108,-1.5068879590013684
1945-03-01,41798,-0.5911360831114543,-1.1727431787014742
1945-04-01,41446,-4.218482902339438,-1.4668473480255795
1945-05-01,41304,-5.542436039858723,-1.622007859949981
1945-06-01,41149,-6.067661305284888,-1.902400648437319
1945-07-01,40874,-5.407202019789381,-2.4579992363497505
1945-08-01,40466,-7.871784173605589,-3.3070489844683415
1945-09-01,38507,-23.31302658467418,-7.610547278005708
1945-10-01,38600,-20.46456580328895,-7.451807806655797
1945-11-01,38996,-13.757936729242124,-6.509074344897026
1945-12-01,39110,6.41246999732652,-6.569517439082661
1946-01-01,39829,13.357012484412634,-4.931376059195614
1946-02-01,39244,2.568220611099004,-6.33219562259828
1946-03-01,40195,11.56728591793308,-3.835111727833873
1946-04-01,40913,11.339096630856726,-1.286010712734642
1946-05-01,41349,23.24433770244734,0.10894828588030592
1946-06-01,41735,16.228742563664333,1.4240929305693983
1946-07-01,42153,12.6856594188949,3.12912854137104
1946-08-01,42642,13.107191764033011,5.377353827904918
1946-09-01,42915,11.798196092152825,11.44726932765472
1946-10-01,43093,9.222713910412406,11.639896373057002
1946-11-01,43395,7.25276754404478,11.28064416863268
1946-12-01,43379,4.39547561083502,10.91536691383277
1947-01-01,43535,4.166309469058604,9.304777925632068
1947-02-01,43557,1.501642262991587,10.990215064723262
1947-03-01,43607,2.1190332530307776,8.488617987311864
1947-04-01,43499,-0.3303582945653804,6.320729352528542
1947-05-01,43638,0.7459303952068064,5.535804977145764
1947-06-01,43810,1.875129383660834,4.971846172277461
1947-07-01,43743,2.2626791496072496,3.7719735250160147
1947-08-01,43960,2.9843857963562925,3.0908493973078155
1947-09-01,44203,3.636793772606484,3.0012816031690592
1947-10-01,44411,6.249758194465982,3.0585013807346906
1947-11-01,44484,4.853901155735141,2.5095057034220547
1947-12-01,44581,3.4647094240674026,2.7709260241130407
1948-01-01,44679,2.435753841217525,2.627770759159298
1948-02-01,44533,0.4413364010825926,2.240742016208652
1948-03-01,44683,0.9183337627972632,2.46749375100328
1948-04-01,44379,-2.6588952228630003,2.0230350122991236
1948-05-01,44796,2.383302252023056,2.653650488106707
1948-06-01,45034,3.17935264961835,2.7938826751883195
1948-07-01,45160,7.22737767620425,3.2393754429280053
1948-08-01,45178,3.4548988516067918,2.770700636942669
1948-09-01,45294,2.3294427411662437,2.468158269800691
1948-10-01,45245,0.7550069206289534,1.8779131296300378
1948-11-01,45192,0.124011766228671,1.5915834906932824
1948-12-01,45032,-2.293773767108398,1.0116417307821646
1949-01-01,44668,-5.004362916424565,-0.024620067593272843
1949-02-01,44497,-6.0110755269337846,-0.08083892843508966
1949-03-01,44240,-6.851571879023299,-0.9914285074860696
1949-04-01,44236,-3.8127811645715326,-0.3222244755402337
1949-05-01,43984,-4.5324091557732205,-1.8126618448075726
1949-06-01,43739,-4.453468696291152,-2.8756050983701154
1949-07-01,43531,-6.22411353893777,-3.6071744906997383
1949-08-01,43624,-3.233942145762325,-3.439727300898665
1949-09-01,43780,0.3754789530124647,-3.3426060846911243
1949-10-01,42942,-5.3033763847226245,-5.090065200574645
1949-11-01,43242,-3.456919751207077,-4.314922995220394
1949-12-01,43522,-2.336485302569513,-3.353171078344286
1950-01-01,43526,5.551876962012448,-2.5566401002955152
1950-02-01,43297,0.5097361057245564,-2.6968110209677043
1950-03-01,43954,4.029913387254669,-0.6464737793851705
1950-04-01,44382,8.101680525995159,0.3300479247671628
1950-05-01,44718,13.788471577922667,1.6687886504183291
1950-06-01,45083,10.677060634623082,3.0727725828208152
1950-07-01,45454,10.017292816596823,4.41754152213365
1950-08-01,46192,13.85119140666049,5.886667889235286
1950-09-01,46438,12.575218041992551,6.071265417999094
1950-10-01,46706,11.481362905376734,8.765311350193294
1950-11-01,46776,5.153869133837796,8.172609962536415
1950-12-01,46861,3.693654219622,7.671981986121956
1951-01-01,47288,5.078311476876918,8.643109865367826
1951-02-01,47577,7.0276259121967,9.885211446520547
1951-03-01,47873,8.922190491568415,8.916139600491423
1951-04-01,47861,4.93570592090582,7.838763462665055
1951-05-01,47952,3.190255335654202,7.231987119280836
1951-06-01,48064,1.6054652846798412,6.6122485193975455
1951-07-01,48061,1.682013550680428,5.7354688256259
1951-08-01,48012,0.5014406621603129,3.9400762036716275
1951-09-01,47954,-0.9123082083823952,3.2645678108445653
1951-10-01,48006,-0.4569664446313126,2.783368303858169
1951-11-01,48147,1.1294714403933703,2.93099025141097
1951-12-01,48314,3.0368620921681577,3.1006593969398866
1952-01-01,48296,2.4383485011503447,2.1316190153950254
1952-02-01,48522,3.152046084019622,1.986253862160292
1952-03-01,48504,1.5823466031388955,1.3180707288033
1952-04-01,48620,2.7105764497618257,1.5858423350953776
1952-05-01,48642,0.9929177964681069,1.4389389389389384
1952-06-01,48282,-1.8182461116720616,0.45356191744341245
1952-07-01,48143,-3.8669369643528175,0.1706165081875044
1952-08-01,48924,2.3392279680776618,1.8995251187203133
1952-09-01,49320,8.880790391233951,2.8485632064061406
1952-10-01,49597,12.639064088754438,3.314169062200567
1952-11-01,49816,7.494830900836003,3.466467277296603
1952-12-01,50166,7.039882470947534,3.8332574409073894
1953-01-01,50144,4.485077123302017,3.826403842968351
1953-02-01,50339,4.266050876815464,3.7446931288899865
1953-03-01,50473,2.470435185267261,4.059459013689604
1953-04-01,50435,2.341599785642523,3.7330316742081537
1953-05-01,50490,1.2052745046311486,3.7991858887381325
1953-06-01,50519,0.3650500134620982,4.63319663642765
1953-07-01,50536,0.8034404342018187,4.970608395820775
1953-08-01,50489,-0.007922125502402,3.1988390156160618
1953-09-01,50368,-1.1902400705421812,2.124898621248983
1953-10-01,50240,-2.322380389633916,1.2964493820190715
1953-11-01,49908,-4.524137667671324,0.18467962100530144
1953-12-01,49703,-5.177459629131076,-0.9229358529681431
1954-01-01,49469,-5.9986691259416025,-1.3461231652839856
1954-02-01,49382,-4.149576763883244,-1.901110471006573
1954-03-01,49157,-4.322224302789279,-2.607334614546386
1954-04-01,49179,-2.3243636999466744,-2.490334093387525
1954-05-01,48965,-3.335204871892694,-3.0204000792236063
1954-06-01,48895,-2.1149606141320443,-3.21463211860884
1954-07-01,48835,-2.768722067126106,-3.3659173658382113
1954-08-01,48826,-1.1306789534568429,-3.293786765434059
1954-09-01,48886,-0.0736068341405604,-2.9423443456162657
1954-10-01,48942,0.8793052337276785,-2.5835987261146443
1954-11-01,49180,2.9317864836706287,-1.4586839785204808
1954-12-01,49331,3.691143339348546,-0.7484457678610945
1955-01-01,49496,4.605269157509073,0.054579635731477616
1955-02-01,49644,3.827637021141439,0.5305576930865419
1955-03-01,49962,5.21546605127774,1.6376101063938053
1955-04-01,50248,6.2171659487845865,2.173692023017959
1955-05-01,50512,7.179367652173019,3.1593995711222345
1955-06-01,50790,6.795656830035268,3.875651907147981
1955-07-01,50987,6.013876769319992,4.40667554008396
1955-08-01,51111,4.828471714186766,4.679883668537266
1955-09-01,51266,3.80179925101074,4.868469500470485
1955-10-01,51429,3.5129013518675256,5.081525070491599
1955-11-01,51592,3.817829094094738,4.904432696217964
1955-12-01,51805,4.272306303837548,5.015102065638244
1956-01-01,51975,4.314738233179738,5.008485534184581
1956-02-01,52167,4.533139279904219,5.082185158327279
1956-03-01,52294,3.829494121055177,4.667547335975342
