DATE,T10YFF,3m growth rate,12m growth rate
1962-01-02,1.31,,
1962-01-03,1.53,,
1962-01-04,1.24,,
1962-01-05,1.52,,
1962-01-08,2.03,,
1962-01-09,2.8,,
1962-01-10,3.57,,
1962-01-11,1.33,,
1962-01-12,1.33,,
1962-01-15,1.1,,
1962-01-16,1.63,,
1962-01-17,1.12,,
1962-01-18,1.86,,
1962-01-19,2.11,,
1962-01-22,2.84,,
1962-01-23,3.61,,
1962-01-24,3.85,,
1962-01-25,2.11,,
1962-01-26,1.61,,
1962-01-29,1.62,,
1962-01-30,2.61,,
1962-01-31,2.6,,
1962-02-01,1.84,,
1962-02-02,2.58,,
1962-02-05,2.07,,
1962-02-06,1.31,,
1962-02-07,1.32,,
1962-02-08,1.32,,
1962-02-09,1.3,,
1962-02-13,2.28,,
1962-02-14,1.28,,
1962-02-15,1.27,,
1962-02-16,1.52,,
1962-02-19,1.51,,
1962-02-20,2.3,,
1962-02-21,2.03,,
1962-02-23,1.52,,
1962-02-26,1.5,,
1962-02-27,1.51,,
1962-02-28,1.25,,
1962-03-01,1.48,,
1962-03-02,1.23,,
1962-03-05,1.25,,
1962-03-06,1.26,,
1962-03-07,1.0,,
1962-03-08,1.23,,
1962-03-09,0.96,,
1962-03-12,0.94,,
1962-03-13,1.17,,
1962-03-14,1.18,,
1962-03-15,1.21,,
1962-03-16,1.21,,
1962-03-19,0.93,,
1962-03-20,1.16,,
1962-03-21,0.86,,
1962-03-22,0.83,,
1962-03-23,0.87,,
1962-03-26,0.89,,
1962-03-27,1.15,,
1962-03-28,0.9,,
1962-03-29,0.9,,
1962-03-30,1.11,,
1962-04-02,1.11,,
1962-04-03,1.08,,
1962-04-04,1.53,,
1962-04-05,1.09,,
1962-04-06,1.06,,
1962-04-09,1.08,,
1962-04-10,1.08,,
1962-04-11,0.87,,
1962-04-12,0.86,,
1962-04-13,0.85,,
1962-04-16,1.08,,
1962-04-17,1.07,,
1962-04-18,0.81,,
1962-04-19,0.82,,
1962-04-23,0.86,,
1962-04-24,1.12,,
1962-04-25,0.88,,
1962-04-26,0.89,,
1962-04-27,1.36,,
1962-04-30,1.36,,
1962-05-01,1.35,,
1962-05-02,1.11,,
1962-05-03,1.11,,
1962-05-04,1.12,,
1962-05-07,1.11,,
1962-05-08,1.1,,
1962-05-09,1.32,,
1962-05-10,1.08,,
1962-05-11,1.57,106.30674498551062,
1962-05-14,1.6,19.59532610384917,
1962-05-15,1.37,49.00317685317936,
1962-05-16,0.86,-89.7524639879605,
1962-05-17,1.37,-79.25573188420232,
1962-05-18,1.68,-87.04,
1962-05-21,1.44,-97.3528588213263,
1962-05-22,1.18,-38.03856527387166,
1962-05-23,1.41,26.31935130632046,
1962-05-24,1.4,162.38644901304536,
1962-05-25,1.63,0.0,
1962-05-28,2.62,2894.5603821487125,
1962-05-29,3.14,712.2071632425666,
1962-05-31,1.15,-91.17608044287375,
1962-06-01,1.14,-97.40375277613472,
1962-06-04,1.38,-97.86455919099856,
1962-06-05,1.89,-94.1922983402773,
1962-06-06,2.14,5.809648632572007,
1962-06-07,1.62,2.5077153014900766,
1962-06-08,1.61,-2.446367372557845,
1962-06-11,1.12,-96.60913842208704,
1962-06-12,1.11,-96.67800845120968,
1962-06-13,1.12,-86.27220457331127,
1962-06-14,1.15,-96.0525872679694,
1962-06-15,1.14,-90.80105497297164,
1962-06-18,0.91,-76.71477779445651,
1962-06-19,0.93,-75.36026291749197,
1962-06-20,0.92,-76.40306563422014,
1962-06-21,0.9,-77.02811526207066,
1962-06-22,1.15,-93.52779933986128,
1962-06-25,0.95,-69.65727768838406,
1962-06-26,0.97,-65.96920826056916,
1962-06-27,0.96,-84.08851988551346,
1962-06-28,0.98,-82.25824761782545,
1962-06-29,1.25,-91.27573782969614,
1962-07-02,1.0,-94.11134856070798,
1962-07-03,1.25,-54.26320794393029,
1962-07-05,1.25,-51.77469135802468,
1962-07-06,1.27,-49.9611759780206,
1962-07-09,1.3,16.98585600000002,
1962-07-10,1.27,-45.77893767364436,
1962-07-11,1.49,115.339959923655,
1962-07-12,1.25,0.0,
1962-07-13,1.25,-3.1370098453236683,
1962-07-16,1.01,4.060401000000002,
1962-07-17,1.03,-50.82680207622951,
1962-07-18,1.02,27.44293212890625,
1962-07-19,1.02,38.640230785578055,
1962-07-20,1.26,34.50509435944129,
1962-07-23,1.25,25.92501834764189,
1962-07-24,1.51,142.5304697312728,
1962-07-25,3.02,3780.487515700365,
1962-07-26,1.51,594.9859021166187,
1962-07-27,1.27,43.67556938561194,
1962-07-30,1.28,390.733915194245,
1962-07-31,1.29,483.5075391731621,
1962-08-01,1.03,96.4589815621678,
1962-08-02,1.0,59.38225732166633,
1962-08-03,1.26,44.10890527120763,
1962-08-06,1.01,58.60448254839201,
1962-08-07,1.02,64.97975308641975,
1962-08-08,1.01,-31.452190679350657,
1962-08-09,0.99,-36.72256545728999,
1962-08-10,0.99,-29.39332561728396,
1962-08-13,0.99,-82.47027693633936,
1962-08-14,0.98,-34.65711415721832,
1962-08-15,0.98,-26.93980252914876,
1962-08-16,0.96,-37.5704923030026,
1962-08-17,1.21,57.56017674704239,
1962-08-20,0.94,36.28071515257325,
1962-08-21,0.94,42.7307702320199,
1962-08-22,0.95,56.033811855700975,
1962-08-23,0.95,-40.131359096070895,
1962-08-24,0.95,-37.86170816922157,
1962-08-27,0.95,89.21447001735618,
1962-08-28,1.21,374.1175938977146,
1962-08-29,1.21,291.875106579763,
1962-08-30,1.2,31.7810287380258,
1962-08-31,0.96,41.629670104501024,
1962-09-04,0.96,35.37077198119205,
1962-09-05,0.97,-74.12196454288069,
1962-09-06,0.99,-71.92077318831119,
1962-09-07,1.01,-68.67071949661393,
1962-09-10,1.0,-34.1269025855,
1962-09-11,1.0,-34.1269025855,
1962-09-12,1.0,-36.44819215951689,
1962-09-13,0.99,-36.72256545728999,
1962-09-14,0.99,-34.39000000000002,
1962-09-17,1.24,-22.12626304787589,
1962-09-18,1.23,68.23851404130465,
1962-09-19,1.24,-61.08758983923652,
1962-09-20,1.23,-65.07467025756837,
1962-09-21,1.23,-35.02621348530819,
1962-09-24,1.22,304.99113578122865,
1962-09-25,1.21,-39.15019194317143,
1962-09-26,0.95,-89.77514179064246,
1962-09-27,0.95,-81.05718783899117,
1962-09-28,1.19,3.433165542398209,
1962-10-01,0.93,-81.07415218330868,
1962-10-02,0.92,-81.35170345689295,
1962-10-03,0.9,-90.70563721632058,
1962-10-04,0.9,-98.60759724957616,
1962-10-05,1.17,-98.07236477131912,
1962-10-08,1.18,10.850247676359114,
