DATE,TB3MS,3m growth rate,12m growth rate
1934-01-01,0.72,,
1934-02-01,0.62,,
1934-03-01,0.24,,
1934-04-01,0.15,-99.81161988811728,
1934-05-01,0.16,-99.556480036729,
1934-06-01,0.15,-84.7412109375,
1934-07-01,0.15,0.0,
1934-08-01,0.19,98.85406494140624,
1934-09-01,0.21,284.1599999999999,
1934-10-01,0.27,949.7600000000006,
1934-11-01,0.25,199.7406404186586,
1934-12-01,0.23,43.89117703014696,
1935-01-01,0.2,-69.89317722945727,-72.22222222222221
1935-02-01,0.19,-66.637824,-69.35483870967742
1935-03-01,0.15,-81.90936996365794,-37.5
1935-04-01,0.15,-68.35937500000003,0.0
1935-05-01,0.15,-61.153613001741846,-6.25
1935-06-01,0.15,0.0,0.0
1935-07-01,0.15,0.0,0.0
1935-08-01,0.16,29.45382716049383,-15.789473684210531
1935-09-01,0.2,216.04938271604956,-4.761904761904756
1935-10-01,0.2,216.04938271604956,-25.92592592592593
1935-11-01,0.16,0.0,-36.0
1935-12-01,0.15,-68.35937500000003,-34.782608695652186
1936-01-01,0.2,0.0,0.0
1936-02-01,0.2,144.140625,5.263157894736836
1936-03-01,0.2,216.04938271604956,33.33333333333335
1936-04-01,0.2,0.0,33.33333333333335
1936-05-01,0.2,0.0,33.33333333333335
1936-06-01,0.2,0.0,33.33333333333335
1936-07-01,0.15,-68.35937500000003,0.0
1936-08-01,0.2,0.0,25.0
1936-09-01,0.16,-59.04000000000001,-20.000000000000007
1936-10-01,0.13,-43.58320987654321,-35.0
1936-11-01,0.11,-90.849375,-31.25
1936-12-01,0.12,-68.359375,-19.999999999999996
1937-01-01,0.17,192.43023703651835,-15.000000000000002
1937-02-01,0.15,245.77556177856692,-25.00000000000001
1937-03-01,0.38,9955.632716049386,89.99999999999999
1937-04-01,0.56,11674.878174351365,180.00000000000003
1937-05-01,0.41,5481.750123456791,104.99999999999999
1937-06-01,0.36,-19.448131920411925,79.99999999999999
1937-07-01,0.28,-93.75,86.66666666666669
1937-08-01,0.29,-74.97024695294472,44.99999999999997
1937-09-01,0.31,-45.01594412056088,93.75
1937-10-01,0.2,-73.9691795085381,53.846153846153854
1937-11-01,0.09,-99.0723630353424,-18.181818181818187
1937-12-01,0.11,-98.41465435003644,-8.333333333333325
1938-01-01,0.1,-93.75,-41.17647058823529
