,Time,Buy/Sell MYAGM1USM052S,Buy/Sell MYAGM2USM052S,Buy/Sell BOGZ1FL893169105Q,Buy/Sell BUSLOANS,Buy/Sell TOTALSL,sum,average
0,1985-03-01,0,0,0,0,0,0,0.0
1,1985-04-01,0,0,0,0,0,0,0.0
2,1985-05-01,0,0,0,0,0,0,0.0
3,1985-06-01,0,0,0,0,0,0,0.0
4,1985-07-01,0,1,0,1,0,2,0.4
5,1985-08-01,0,-1,0,0,0,1,0.2
6,1985-09-01,0,0,0,0,0,1,0.2
7,1985-10-01,0,0,0,-1,0,0,0.0
8,1985-11-01,0,0,0,1,0,1,0.2
9,1985-12-01,0,0,1,-1,0,1,0.2
10,1986-01-01,0,0,0,1,0,2,0.4
11,1986-02-01,0,0,0,-1,0,1,0.2
12,1986-03-01,0,0,-1,1,0,1,0.2
13,1986-04-01,1,1,0,-1,0,2,0.4
14,1986-05-01,0,0,0,1,0,3,0.6
15,1986-06-01,0,0,0,-1,0,2,0.4
16,1986-07-01,0,0,0,0,0,2,0.4
17,1986-08-01,0,0,0,1,0,3,0.6
18,1986-09-01,0,0,1,0,0,4,0.8
19,1986-10-01,0,0,0,-1,1,4,0.8
20,1986-11-01,0,-1,0,1,-1,3,0.6
21,1986-12-01,0,0,0,0,0,3,0.6
22,1987-01-01,0,0,0,0,0,3,0.6
23,1987-02-01,-1,0,0,0,0,2,0.4
24,1987-03-01,0,0,0,-1,0,1,0.2
25,1987-04-01,0,0,0,0,0,1,0.2
26,1987-05-01,0,0,0,0,0,1,0.2
27,1987-06-01,0,0,0,0,1,2,0.4
28,1987-07-01,0,0,0,0,0,2,0.4
29,1987-08-01,0,0,0,0,0,2,0.4
30,1987-09-01,0,0,0,0,0,2,0.4
31,1987-10-01,0,1,0,0,0,3,0.6
32,1987-11-01,0,0,0,0,0,3,0.6
33,1987-12-01,0,0,0,0,0,3,0.6
34,1988-01-01,0,0,0,0,0,3,0.6
35,1988-02-01,0,0,0,1,0,4,0.8
36,1988-03-01,1,0,-1,0,0,4,0.8
37,1988-04-01,0,0,0,0,0,4,0.8
38,1988-05-01,0,0,0,0,0,4,0.8
39,1988-06-01,0,0,1,0,-1,4,0.8
40,1988-07-01,0,-1,0,0,0,3,0.6
41,1988-08-01,0,0,0,0,0,3,0.6
42,1988-09-01,-1,0,0,-1,0,1,0.2
43,1988-10-01,0,0,0,0,0,1,0.2
44,1988-11-01,0,0,0,0,0,1,0.2
45,1988-12-01,0,0,-1,0,0,0,0.0
46,1989-01-01,0,0,0,0,1,1,0.2
47,1989-02-01,0,0,0,1,0,2,0.4
48,1989-03-01,0,0,0,0,0,2,0.4
49,1989-04-01,0,0,0,0,0,2,0.4
50,1989-05-01,0,0,0,-1,0,1,0.2
51,1989-06-01,0,1,0,0,-1,1,0.2
52,1989-07-01,0,0,0,1,0,2,0.4
53,1989-08-01,1,0,0,0,0,3,0.6
54,1989-09-01,0,0,1,0,0,4,0.8
55,1989-10-01,0,0,0,-1,0,3,0.6
56,1989-11-01,0,0,0,0,0,3,0.6
57,1989-12-01,0,0,-1,0,0,2,0.4
58,1990-01-01,0,0,0,0,0,2,0.4
59,1990-02-01,0,-1,0,0,0,1,0.2
60,1990-03-01,0,0,1,0,0,2,0.4
61,1990-04-01,0,0,0,0,0,2,0.4
62,1990-05-01,-1,0,0,0,0,1,0.2
63,1990-06-01,0,0,-1,0,0,0,0.0
64,1990-07-01,0,0,0,0,1,1,0.2
65,1990-08-01,1,0,0,0,0,2,0.4
66,1990-09-01,0,0,1,0,0,3,0.6
67,1990-10-01,0,0,0,0,-1,2,0.4
68,1990-11-01,-1,0,0,0,0,1,0.2
69,1990-12-01,0,0,-1,1,0,1,0.2
70,1991-01-01,0,0,0,-1,0,0,0.0
71,1991-02-01,1,1,0,0,0,2,0.4
72,1991-03-01,0,0,0,0,0,2,0.4
73,1991-04-01,0,0,0,0,0,2,0.4
74,1991-05-01,0,0,0,0,0,2,0.4
75,1991-06-01,0,-1,1,0,0,2,0.4
76,1991-07-01,0,0,0,0,0,2,0.4
77,1991-08-01,0,0,0,0,0,2,0.4
78,1991-09-01,0,0,0,0,0,2,0.4
79,1991-10-01,0,0,0,1,0,3,0.6
80,1991-11-01,0,0,0,0,1,4,0.8
81,1991-12-01,0,0,0,0,-1,3,0.6
82,1992-01-01,0,0,0,-1,1,3,0.6
83,1992-02-01,0,1,0,0,0,4,0.8
84,1992-03-01,0,0,0,0,0,4,0.8
85,1992-04-01,0,0,0,0,0,4,0.8
86,1992-05-01,-1,-1,0,0,0,2,0.4
87,1992-06-01,0,0,-1,0,0,1,0.2
